_id,ANY,ORGÀNICA,PROGRAMA,ECONÒMICA,DESCRIPCIÓ PARTIDA,CRÈDITS INICIALS,MODIFICACIONS CRÈDIT,CRÈDITS TOTALS CONSIGNATS,DISPOSICIONS O COMPROMISOS,OBLIGACIONS RECONEGUDES,PAGAMENTS REALITZATS
203,2020,21109,13200,151,RRHH-Guardia urbana PG-Gratificacions,258354.00,0,258354.00,0,0,0
204,2020,21109,13200,150,RRHH-Guardia urbana PG-Productivitat,427555.08,0,427555.08,0,0,0
205,2020,21109,13200,131,RRHH-Guardia urbana PG-Personal laboral eventual,42400.14,0,42400.14,0,0,0
206,2020,21109,13200,13000,RRHH-Guardia urbana PG-Retribucions basiques personal lab.,24662.94,0,24662.94,0,0,0
207,2020,21109,13200,122,RRHH-Guardia urbana PG-Retribucions especie,10000.00,0,10000.00,0,0,0
208,2020,21109,13200,12103,RRHH-Guardia urbana PG-D'altres complements,36000.00,0,36000.00,0,0,0
209,2020,21109,13200,12101,RRHH-Guardia urbana PG-Complement específic,3684811.83,0,3684811.83,0,0,0
210,2020,21109,13200,12100,RRHH-Guardia urbana PG-Complement destí,803366.76,0,803366.76,0,0,0
211,2020,21109,13200,12006,RRHH-Guardia urbana PG-Triennis,273058.44,0,273058.44,0,0,0
212,2020,21109,13200,12009,RRHH-Guardia urbana PG-Altres Retribucions bàsique,241779.25,0,241779.25,0,0,0
213,2020,21109,13300,153,RRHH-Unitat de multes-Complem. especial dedicació,4670.40,0,4670.40,0,0,0
214,2020,21109,13300,16000,RRHH-Unitat de multes-Seguretat social,57692.84,0,57692.84,0,0,0
215,2020,21109,13300,12003,RRHH-Unitat de multes-Sous grup C1,8814.12,0,8814.12,0,0,0
216,2020,21109,13300,12004,RRHH-Unitat de multes-Sous grup C2,36678.60,0,36678.60,0,0,0
217,2020,21109,13300,12006,RRHH-Unitat de multes-Trienis,7225.44,0,7225.44,0,0,0
218,2020,21109,13300,12009,RRHH-Unitat de multes-Altres retribucions bàsiques,9788.02,0,9788.02,0,0,0
219,2020,21109,13300,12100,RRHH-Unitat de multes-Complement destí,33416.46,0,33416.46,0,0,0
220,2020,21109,13300,12101,RRHH-Unitat de multes-Complement específic,42576.66,0,42576.66,0,0,0
221,2020,21109,13300,12103,RRHH-Unitat de multes-Altres complements,0.00,0,0.00,0,0,0
222,2020,21109,13300,13000,RRHH-Unitat de multes-Retrib.bàsiques personal laboral,23060.06,0,23060.06,0,0,0
223,2020,21109,13300,150,RRHH-Unitat de multes-Productivitat,23066.40,0,23066.40,0,0,0
224,2020,21109,13300,151,RRHH-Unitat de multes-Gratificacions,0.00,0,0.00,0,0,0
225,2020,21109,13300,12000,RRHH-Unitat  de multes-Sous grup A1,13576.32,0,13576.32,0,0,0
226,2020,21109,13400,150,RRHH-Mobilitat-Productivitat,16692.36,0,16692.36,0,0,0
227,2020,21109,13400,131,RRHH-Mobilitat -Personal laboral eventual,55551.15,0,55551.15,0,0,0
228,2020,21109,13400,12103,RRHH-Mobilitat-Altres Complements,18000.00,0,18000.00,0,0,0
229,2020,21109,13400,12101,RRHH-Mobilitat-Complement específic,30061.36,0,30061.36,0,0,0
230,2020,21109,13400,12100,RRHH-Mobilitat -Complement destí,21780.64,0,21780.64,0,0,0
231,2020,21109,13400,12009,RRHH-Mobilitat -Altres Retribucions bàsiques,7114.98,0,7114.98,0,0,0
232,2020,21109,13400,151,RRHH-Mobilitat-Gratificacions,0.00,0,0.00,0,0,0
233,2020,21109,13400,12004,RRHH-Mobilitat -Sous grup C2,14671.44,0,14671.44,0,0,0
