COMARCA;POBLACIO;CODI_CENTRE;CENTRE;NATURALESA;ESTUDIS
Garraf;Sitges;8062833;Escola Agnès de Sitges;Públic;EDUCACIÓ INFANTIL
Garraf;Sitges;8062833;Escola Agnès de Sitges;Públic;EDUCACIÓ PRIMÀRIA
Maresme;Tiana;8062857;Institut Tiana;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Maresme;Tordera;8062869;Escola Serra de Miralles;Públic;EDUCACIÓ INFANTIL
Maresme;Tordera;8062869;Escola Serra de Miralles;Públic;EDUCACIÓ PRIMÀRIA
Osona;Vic;8062870;Institut La Plana;Públic;BATXILLERAT
Osona;Vic;8062870;Institut La Plana;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Baix Llobregat;Castelldefels;8062924;Escola Josep Guinovart;Públic;EDUCACIÓ INFANTIL
Baix Llobregat;Castelldefels;8062924;Escola Josep Guinovart;Públic;EDUCACIÓ PRIMÀRIA
Baix Llobregat;Viladecans;8062948;Escola Miquel Martí i Pol;Públic;EDUCACIÓ INFANTIL
Baix Llobregat;Viladecans;8062948;Escola Miquel Martí i Pol;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8063072;Escola Fructuós Gelabert;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8063072;Escola Fructuós Gelabert;Públic;EDUCACIÓ PRIMÀRIA
Baix Llobregat;Santa Coloma de Cervelló;8063229;Institut Montpedrós;Públic;BATXILLERAT
Baix Llobregat;Santa Coloma de Cervelló;8063229;Institut Montpedrós;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Baix Llobregat;Sant Feliu de Llobregat;8063394;Escola Miquel Martí i Pol;Públic;EDUCACIÓ INFANTIL
Baix Llobregat;Sant Feliu de Llobregat;8063394;Escola Miquel Martí i Pol;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;L'Hospitalet de Llobregat;8063485;Avantis;Privat;EDUCACIÓ INFANTIL
Maresme;Premià de Dalt;8063655;Betlem-2;Privat;EDUCACIÓ INFANTIL
Baix Llobregat;Cervelló;8063710;Escola Escola Nova;Públic;EDUCACIÓ INFANTIL
Baix Llobregat;Cervelló;8063710;Escola Escola Nova;Públic;EDUCACIÓ PRIMÀRIA
